Geneid,EC1,EC1yuan,EC2,EC2yuan,EC3,EC3yuan
ENSG00000232663,0,0,0,0,0,0
ENSG00000131686,0,0,0,0,0,0
ENSG00000265141,0,0,0,0,0,0
ENSG00000197241,0,0,1,1,0,1
ENSG00000142583,1,0,0,0,3,0
ENSG00000252404,0,0,0,0,0,0
ENSG00000180758,339,172,315,140,368,136
ENSG00000228526,237,35,207,32,214,26
ENSG00000284357,0,0,0,0,0,0
ENSG00000234546,7,0,6,4,7,0
ENSG00000049239,1531,80,1458,114,1670,113
ENSG00000171621,387,612,404,593,450,585
ENSG00000284652,6,0,1,0,1,1
ENSG00000284693,10,3,8,6,5,4
ENSG00000252956,0,0,0,0,0,0
ENSG00000235263,0,0,0,0,0,0
ENSG00000171612,124,209,119,225,83,209
ENSG00000231181,5,10,7,8,11,12
ENSG00000188807,700,1435,682,1384,699,1218
ENSG00000171608,1227,1468,1242,1329,1386,1320
ENSG00000179840,0,0,0,0,0,0
ENSG00000233268,0,0,0,0,0,0
ENSG00000231789,143,61,178,54,163,35
ENSG00000171603,8716,7935,8166,7534,9375,7355
ENSG00000271264,0,0,1,1,0,1
ENSG00000280113,1,0,2,0,0,0
ENSG00000178585,1417,1746,1275,1615,1463,1584
ENSG00000223989,0,0,0,0,0,0
ENSG00000285701,0,17,3,11,6,4
ENSG00000162441,717,906,643,1016,718,917
ENSG00000228150,26,13,22,9,24,12
ENSG00000173614,416,277,355,321,431,305
ENSG00000202415,2,2,8,6,0,5
ENSG00000283611,1,2,3,1,2,0
ENSG00000265521,2,0,2,0,1,0
ENSG00000241326,0,0,0,0,0,0
ENSG00000162444,23,6,25,8,17,11
ENSG00000130939,1711,1867,1496,2074,1649,1919
ENSG00000224340,0,1,0,0,2,1
ENSG00000233623,5,0,8,1,2,1
ENSG00000201746,2,1,2,0,2,2
ENSG00000054523,2742,2274,2279,2561,2767,2481
ENSG00000264881,0,0,0,0,0,0
ENSG00000199562,0,0,0,1,0,0
ENSG00000264501,0,0,0,0,0,0
ENSG00000284735,14,11,7,14,11,4
ENSG00000284642,16,16,12,16,11,11
ENSG00000142657,1978,2469,1825,2662,1946,2494
ENSG00000271989,0,0,0,0,0,0
ENSG00000251503,5,13,2,4,8,16
ENSG00000175279,14,33,24,34,37,48
ENSG00000241563,8,11,6,13,4,19
ENSG00000160049,3029,3797,2925,4040,3035,3764
ENSG00000203469,0,0,0,0,0,0
ENSG00000142655,460,646,431,681,506,639
ENSG00000287727,12,10,9,4,9,5
ENSG00000243267,0,0,1,0,2,2
ENSG00000130940,170,398,143,390,160,343
ENSG00000272078,8,28,14,20,18,26
ENSG00000225158,0,0,0,0,0,0
ENSG00000175262,0,4,0,0,0,0
ENSG00000215785,0,0,0,0,0,0
ENSG00000120948,2155,3940,2083,4303,2208,3932
ENSG00000009724,100,30,70,45,76,51
ENSG00000116649,1272,3898,1182,3820,1288,3376
ENSG00000171824,1962,2855,1740,3172,2038,2932
ENSG00000226849,7,4,3,9,4,12
ENSG00000230337,2,11,0,17,1,15
ENSG00000198793,3311,4421,2899,4178,3566,4076
ENSG00000225602,2,1,0,5,2,1
ENSG00000253086,0,0,0,0,0,0
ENSG00000171819,0,6,1,0,0,2
ENSG00000207451,0,0,0,0,1,1
ENSG00000238173,0,0,0,0,1,0
ENSG00000120942,411,895,360,890,403,835
ENSG00000238199,5,8,6,14,5,3
ENSG00000284646,0,0,0,0,0,0
ENSG00000224338,0,0,0,0,0,0
ENSG00000204624,193,49,190,38,216,29
ENSG00000285833,0,0,0,0,0,0
ENSG00000235643,1,1,0,0,0,2
ENSG00000284708,17,4,16,8,23,7
ENSG00000116661,2329,725,2579,741,2714,677
ENSG00000132879,1540,1044,1806,798,1992,755
ENSG00000116663,323,215,331,202,287,208
ENSG00000116670,1295,2699,1480,2294,1582,2116
