,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CCNA2,1327.9787797647,-2.66983124093267,0.0842498156896558,-31.6894609095326,2.170560103759239e-220,5.957715623926997e-218
NCAPH,1359.13461264754,-2.86600333084054,0.0904656428761883,-31.680572200906802,2.877448902751858e-220,7.813047278740835e-218
THBS1,6772.288858541519,-2.49043555138618,0.0786323147274091,-31.6719094435875,3.7870245311779985e-220,1.0173398240564497e-217
UBE2SP1,2477.69871475846,-2.6419623777728303,0.0834633002045979,-31.654180595500602,6.642502351742827e-220,1.7656470461706295e-217
FER1L4,2494.73642225186,3.02626820984805,0.0961461500859067,31.4757086700203,1.867933537797419e-217,4.913443510047967e-215
UAP1,2915.25395184239,-2.18393725007122,0.0695342050043768,-31.4080997968375,1.5685401318918192e-216,4.083378908302298e-214
GPRC5C,800.021539776449,3.78341512715759,0.12055414495486,31.383534166944198,3.394594196845228e-216,8.746968638646507e-214
OBSCN,1088.89103319877,3.17397727743123,0.10122594096275699,31.3553743955713,8.218903047216515e-216,2.096401411599109e-213
SLC29A4,1898.5488928652999,3.0125979859970897,0.0962343885366539,31.304796879856,4.015093471383487e-215,1.0138914033937595e-212
ABCC3,2122.56828882822,2.93344196596443,0.0941362650858086,31.1616565973856,3.526115881094378e-213,8.815987943504486e-211
BUB1,2490.3710829932397,-2.4628054184676405,0.0790885872409109,-31.1398332475672,6.963691262287318e-213,1.723991487796859e-210
DNMT1,4174.5783261428105,-2.29630726425259,0.0738235628108078,-31.105343291781697,2.039382790533119e-212,4.999853808402177e-210
ALYREF,2608.99462816208,-2.6753410154466803,0.0861115373512849,-31.0683225237617,6.453961115581408e-212,1.5670714047178992e-209
FOSL1,2018.1590216786701,-3.32053831720406,0.10717249165082801,-30.983121378035,9.100019022015344e-211,2.1885112413707795e-208
SPAG5,1281.7884374227801,-2.71673975371222,0.0877103322740847,-30.973999109052702,1.2075337180013695e-210,2.876664287450069e-208
BCAM,2368.41148679476,2.24350184322148,0.0726415471877582,30.884554777208198,1.925776635578929e-209,4.544832859966278e-207
MELTF,1590.20631415352,2.48457294311787,0.08045667468977499,30.8808803333955,2.1574454855811596e-209,5.044427166842158e-207
KIF18B,1753.75734892801,-2.91964347002321,0.0950687956911127,-30.7108494306524,4.0776182404757876e-207,9.446606954907754e-205
RANBP1,1967.2833830161899,-2.3928620796580296,0.0782204461462403,-30.591260949654398,1.5995932082002293e-205,3.6720843357701985e-203
PALM,945.781123007439,3.5299775692575097,0.115508473450935,30.560334352933502,4.122105333969219e-205,9.377603954359517e-203
TACC3,2461.19031170642,-2.3984018409656,0.0785555799130481,-30.531272808632497,1.0024395182924795e-204,2.2601430996358788e-202
EIF5A,8565.22009977085,-1.9368071819039399,0.0636477967631752,-30.4300742586666,2.1984760178978387e-203,4.9129129561023266e-201
PTGES,731.2889667496961,4.15269456643731,0.136569695164012,30.407145314706696,4.419308164423178e-203,9.789155242808266e-201
TUBA1B,11824.054789998501,-2.036476069118,0.0670528227577922,-30.3712205595602,1.3182454301446595e-202,2.894637704522878e-200
FTH1P7,2161.54852729946,2.30935676953502,0.0761124795065688,30.3413682553295,3.2657460750328683e-202,7.109191369545687e-200
